**Coletado no dia 12/07 por Gustavo Guedes,,,,,,
disciplina,turma,nome,professor,departamento,ano/periodo,horario
CC76F,S51,Mecânica Dos Solos A,AMANDA - Amanda Dalla Rosa Johann,DACOC,2022/2,"2T3,2T4,2T5"
CC76F,S52,Mecânica Dos Solos A,AMANDA - Amanda Dalla Rosa Johann,DACOC,2022/2,"2T3,2T4,2T5"
CC72D,S51,Materiais De Construção,ARTHUR - Arthur Medeiros,DACOC,2022/2,"2N1,2T4,2T5,2T6,4T1,4T2"
CC72D,S52,Materiais De Construção,ARTHUR - Arthur Medeiros,DACOC,2022/2,"2N1,2T2,2T3,2T6,4T1,4T2"
CC7BC,S51,Tecnologia Da Pré-Fabricação,ARTHUR - Arthur Medeiros,DACOC,2022/2,"3N1,3T6,4N2,4N3"
CC74F,S51,Métodos Numéricos Aplicados À Engenharia Civil,BEGHETTO - Fernando Luiz Martinechen Beghetto,DACOC,2022/2,"5N1,5T6,6N1,6T6"
FI70A,S51,Mecânica Geral 1,BEGHETTO - Fernando Luiz Martinechen Beghetto,DACOC,2022/2,"2T2,2T3,3N1,3N2"
FI70B,S51,Mecânica Geral 2,BEGHETTO - Fernando Luiz Martinechen Beghetto,DACOC,2022/2,"5T2,5T3,6T2,6T3"
CC71E,S55,Expressão Gráfica 1,BETH - Elisabeth Penner,DACOC,2022/2,"6T2,6T3,6T4"
CC73A,S55,Mecânica Geral 1,BETH - Elisabeth Penner,DACOC,2022/2,"3T2,3T3,3T4,3T5"
CC79E,S51,Construções Em Madeira A,BETH - Elisabeth Penner,DACOC,2022/2,"6N1,6T5,6T6"
CC75F,S51,Geologia Aplicada À Engenharia,BRANDI - Jose Luiz Goncalves Brandi,DACOC,2022/2,"2T4,2T5,6T4,6T5"
CC78F,S51,Fundações,BRANDI - Jose Luiz Goncalves Brandi,DACOC,2022/2,"2N2,2N3,2N4,2N5"
CC70C,S51,Gerenciamento De Obras,CABETO - Carlos Alberto Da Costa,DACOC,2022/2,"3N1,3T6,5N1,5T6"
CC77B,S51,Qualidade Na Gestão,CABETO - Carlos Alberto Da Costa,DACOC,2022/2,"2N2,2N3,5N4,5N5"
CC79B,S51,Gestão De Projetos,CABETO - Carlos Alberto Da Costa,DACOC,2022/2,"3N2,3N3,5N2,5N3"
CC71D,S51,Computação A,CARON - Jose Manoel Caron,DACOC,2022/2,"5T4,5T5,6T4,6T5"
CC71D,S52,Computação A,CARON - Jose Manoel Caron,DACOC,2022/2,"5T4,5T5,6T2,6T3"
CC78E,S51,Construções Metálicas A,CARON - Jose Manoel Caron,DACOC,2022/2,"3N2,3N3,5N2,5N3"
CC75G,S51,Engenharia De Segurança Do Trabalho,CATAI - Rodrigo Eduardo Catai,DACOC,2022/2,"2N1,2T6,5T2,5T3"
ECSP02,PGEC,Segurança Do Trabalho Na Construção Civil,CATAI - Rodrigo Eduardo Catai,DACOC,2022/2,"2N2,2N3,2N4,2N5"
CC74G,S51,Hidrologia,CELIMAR - Celimar Azambuja Teixeira,DACOC,2022/2,"7M3,7M4,7M5"
CC74G,S55,Hidrologia,CELIMAR - Celimar Azambuja Teixeira,DACOC,2022/2,"6M1,6M2,6M3"
CC71C,S51,Ciência Dos Materiais Aplicada À Eng Civil,CERRI - Jose Alberto Cerri,DACOC,2022/2,"2T3,2T4,5T2,5T3"
CC71C,S52,Ciência Dos Materiais Aplicada À Eng Civil,CERRI - Jose Alberto Cerri,DACOC,2022/2,"2T5,2T6,3T3,3T4"
CC7AZ,S51,Projetos Arquitetônicos Utilizando Estratégias Bioclimáticas,CERRI - Jose Alberto Cerri,DACOC,2022/2,"3T1,3T2,6T3,6T4"
CC76B,S51,Tecnologia Da Construção De Edifícios 2,CEZAR CASAGRAND - Cezar Augusto Casagrande,DACOC,2022/2,"3N2,3N3,5N2,5N3"
CC78B,S51,Racionalização De Processos Construtivos,CEZAR CASAGRAND - Cezar Augusto Casagrande,DACOC,2022/2,"4N1,4T6,6N1,6T6"
CC72E,S55,Topografia,CLARICE LEMOS - Clarice Farian De Lemos,DACOC,2022/2,"2M2,2M3,3M2,3M3"
CC72E,S56,Topografia,CLARICE LEMOS - Clarice Farian De Lemos,DACOC,2022/2,"2M4,2M5,3M2,3M3"
CC75J,S55,Geoprocessamento,CLARICE LEMOS - Clarice Farian De Lemos,DACOC,2022/2,"3T4,3T5,3T6,5T5,5T6"
CC70H,S55,Trabalho De Conclusão De Curso 2,DACOC -,DACOC,2022/2,"2M2,2M3,2M4,2M5"
CC72B,S01,Projeto Arquitetônico,DACOC -,DACOC,2022/2,"5T1,5T2,5T3,5T4"
CC77F,S51,Concreto Armado,DANIELA G - Daniela Gutstein,DACOC,2022/2,"2N1,2T6,4N1,4T6"
CC77F,S55,Concreto Armado,DANIELA G - Daniela Gutstein,DACOC,2022/2,"2M4,2M5,6M2,6M3"
CC7BU,S51,Obras Hidráulicas,DANIELA G - Daniela Gutstein,DACOC,2022/2,"3T4,3T5,5T4,5T5"
CC76C,S51,Eficiência Energética Em Edificações,EDUARDO K - Eduardo Leite Kruger,DACOC,2022/2,"4T4,4T5,5T4,5T5"
CC7AZ,S51,Projetos Arquitetônicos Utilizando Estratégias Bioclimáticas,EDUARDO K - Eduardo Leite Kruger,DACOC,2022/2,"3T1,3T2,6T3,6T4"
ECSH22,PGEC,Guided Studies In Indoor Environmental Quality And Urban Climatology,EDUARDO K - Eduardo Leite Kruger,DACOC,2022/2,4M2
SAU04,PSAU,Tecnologias Para Sustentabilidade,EDUARDO K - Eduardo Leite Kruger,DACOC,2022/2,"3M3,3M4,3M5,3M6"
CC76E,S51,Teoria Das Estruturas 1,ERICA KIMURA - Erica Fernanda Aiko Kimura,DACOC,2022/2,"2N1,2T6,4N1,4T6"
CC79F,S51,Análise Computacional De Estruturas,ERICA KIMURA - Erica Fernanda Aiko Kimura,DACOC,2022/2,"2N2,2N3,6N2,6N3"
CC74B,S51,Gestão Ambiental,FASSI - Eloy Fassi Casagrande Junior,DACOC,2022/2,"3T4,3T5,3T6"
CC7AB,S51,Construções Sustentáveis Metodologia E Tecnologia,FASSI - Eloy Fassi Casagrande Junior,DACOC,2022/2,"2T2,2T3,2T4,2T5"
PGT1022DB,PGTE,Desenvolvimento Tecnológico Sustentável,FASSI - Eloy Fassi Casagrande Junior,DACOC,2022/2,"3M2,3M3,3M4,3M5"
CC75H,S55,Hidráulica,FERNANDO OA - Fernando Oliveira De Andrade,DACOC,2022/2,"3T2,3T3,4M3,4M4,4M5"
CC76D,S51,Hidráulica,FERNANDO OA - Fernando Oliveira De Andrade,DACOC,2022/2,"5T2,5T3,6T4,6T5"
CC77A,S55,Sistema De Drenagem Urbana,FLAVIO B - Flavio Bentes Freire,DACOC,2022/2,"4M3,4M4"
CC77D,S51,Sistemas Hidráulicos Urbanos,FLAVIO B - Flavio Bentes Freire,DACOC,2022/2,"6N1,6N2,6T6"
CC78K,S55,Sistemas Hidráulicos Urbanos,FLAVIO B - Flavio Bentes Freire,DACOC,2022/2,"3M4,3M5,3M6"
CC71A,S51,Expressão Gráfica,GUAJARA - Fernando Guajara Greenberg,DACOC,2022/2,"3N1,3N2,3N3"
CC71A,S52,Expressão Gráfica,GUAJARA - Fernando Guajara Greenberg,DACOC,2022/2,"5N1,5N2,5T6"
CC72B,S51,Projeto Arquitetônico,GUAJARA - Fernando Guajara Greenberg,DACOC,2022/2,"3T1,3T2,3T3,3T4"
CC75A,S55,Mecânica Dos Solos,IZZO - Ronaldo Luis Dos Santos Izzo,DACOC,2022/2,"6T1,6T2"
CC75A,S56,Mecânica Dos Solos,IZZO - Ronaldo Luis Dos Santos Izzo,DACOC,2022/2,"6T3,6T4"
CC76F,S51,Mecânica Dos Solos A,IZZO - Ronaldo Luis Dos Santos Izzo,DACOC,2022/2,"2T3,2T4,2T5,6N1,6T6"
CC76F,S52,Mecânica Dos Solos A,IZZO - Ronaldo Luis Dos Santos Izzo,DACOC,2022/2,"2T3,2T4,2T5,6N2,6N3"
ECMS32,PGEC,Tópicos Especiais Método Medina De Dimensionamento De Pavimentos,IZZO - Ronaldo Luis Dos Santos Izzo,DACOC,2022/2,"2T2,2T3,2T4,2T5"
CC72E,S51,Topografia,JAIR - Jair Ferreira De Almeida,DACOC,2022/2,"2T2,2T3,6T3,6T4"
CC72E,S52,Topografia,JAIR - Jair Ferreira De Almeida,DACOC,2022/2,"2T4,2T5,6T3,6T4"
CC78G,S51,Estradas,JAIR - Jair Ferreira De Almeida,DACOC,2022/2,"3N1,3T6,5N1,5T6"
ECNC02,PGEC,Projeto De Dissertação,JANINE - Janine Nicolosi Correa,DACOC,2022/2,"5T2,5T3,5T4,5T5"
GE70G,S51,Engenharia Econômica,JANINE - Janine Nicolosi Correa,DACOC,2022/2,"3N1,3T6,4N2,4N3"
GE77N,S55,Engenharia Econômica,JANINE - Janine Nicolosi Correa,DACOC,2022/2,"2M2,2M3,4M1,4M2"
CC77E,S51,Teoria Das Estruturas 2,JOAO ELIAS - Joao Elias Abdalla Filho,DACOC,2022/2,"3N2,3N3,5N2,5N3"
ECMS07,PGEC,Método Dos Elementos Finitos,JOAO ELIAS - Joao Elias Abdalla Filho,DACOC,2022/2,"3T3,3T4,3T5,3T6"
CC78D,S51,Saneamento,KARINA QC - Karina Querne De Carvalho Passig,DACOC,2022/2,"2N1,2T5,2T6"
ECNC08,PGEC,Projeto De Tese,KARINA QC - Karina Querne De Carvalho Passig,DACOC,2022/2,4N3
ECSH23,PGEC,Fundamentos De Saneamento E Recursos Hídricos,KARINA QC - Karina Querne De Carvalho Passig,DACOC,2022/2,5T3
QB77V,S55,Tratamento De Água De Abastecimento,KARINA QC - Karina Querne De Carvalho Passig,DACOC,2022/2,"4M5,4M6,5M4,5M5,5M6"
CC70F,S51,Trabalho De Conclusão De Curso 2,LIDIANE - Lidiane Fernanda Jochem,DACOC,2022/2,"7M5,7M6"
CC73B,S01,Argamassas E Concretos,LIDIANE - Lidiane Fernanda Jochem,DACOC,2022/2,"5N1,5N2"
CC73B,S51,Argamassas E Concretos,LIDIANE - Lidiane Fernanda Jochem,DACOC,2022/2,"3T5,3T6"
CC73B,S52,Argamassas E Concretos,LIDIANE - Lidiane Fernanda Jochem,DACOC,2022/2,"5T3,5T4"
CC79A,S51,Trabalho De Conclusão De Curso 1,LIDIANE - Lidiane Fernanda Jochem,DACOC,2022/2,"7M3,7M4"
CC70A,S61,Higiene E Segurança Industrial,LUCIENE - Luciene Ferreira Schiavoni Wiczick,DACOC,2022/2,"5M2,5M3,5M4,5M5"
CC70F,S51,Trabalho De Conclusão De Curso 2,LUCIENE - Luciene Ferreira Schiavoni Wiczick,DACOC,2022/2,"7M3,7M4,7M5,7M6"
CC72D,S55,Materiais De Construção,LUCIENE - Luciene Ferreira Schiavoni Wiczick,DACOC,2022/2,"4T5,4T6,6T2,6T3,6T4,6T5"
CC72D,S56,Materiais De Construção,LUCIENE - Luciene Ferreira Schiavoni Wiczick,DACOC,2022/2,"5T5,5T6,6T2,6T3,6T4,6T5"
CC79A,S51,Trabalho De Conclusão De Curso 1,LUCIENE - Luciene Ferreira Schiavoni Wiczick,DACOC,2022/2,"7M3,7M4,7M5,7M6"
CC75C,S51,Instalações Elétricas Prediais,MASSAYUKI - Massayuki Mario Hara,DACOC,2022/2,"3N2,3N3,5N2,5N3"
CC77C,S51,Instalações Hidrossanitárias,MASSAYUKI - Massayuki Mario Hara,DACOC,2022/2,"3N1,3T6,5N1,5T6"
CC79C,S51,Especificações E Orçamentos,MASSAYUKI - Massayuki Mario Hara,DACOC,2022/2,"3N4,3N5,5N4,5N5"
CC77G,S51,Engenharia De Transportes,MATHEUS - Matheus David Inocente Domingos,DACOC,2022/2,"2N4,2N5,6N3,6N4"
CC7BS,S51,Ferrovias,MATHEUS - Matheus David Inocente Domingos,DACOC,2022/2,"2N1,2T6,6N1,6T6"
ECNC09,PGEC,Scientific Writing In English,MATHEUS - Matheus David Inocente Domingos,DACOC,2022/2,"3T2,3T3,3T4,3T5"
CC74A,S55,Mecânica Do Fluidos E Transferência De Calor E Massa,MORO - Roberto Carlos Moro Filho,DACOC,2022/2,"2M1,2M2,2M3,6M1,6M2"
CC75D,S51,Mecânica Dos Fluidos E Transferência De Calor,MORO - Roberto Carlos Moro Filho,DACOC,2022/2,"4T3,4T4,4T5,5T4,5T5"
CC78I,S55,Resíduos Sólidos 1,NAGALLI - Andre Nagalli,DACOC,2022/2,"4M1,4M2,4M3"
CC7BT,S51,Gestão De Resíduos Sólidos,NAGALLI - Andre Nagalli,DACOC,2022/2,"2N2,2N3,2N4,2N5"
ECSH23,PGEC,Fundamentos De Saneamento E Recursos Hídricos,NAGALLI - Andre Nagalli,DACOC,2022/2,5T5
CC76E,S55,Teoria Das Estruturas 1,RENATA - Renata Sa Brito Stramandinoli,DACOC,2022/2,"2T2,2T3,5T2,5T3"
CC71A,S51,Expressão Gráfica,ROBERTO - Roberto Levi Sprenger,DACOC,2022/2,"6T2,6T3"
CC71A,S52,Expressão Gráfica,ROBERTO - Roberto Levi Sprenger,DACOC,2022/2,"6T4,6T5"
CC71B,S55,Desenho Assistido Por Computador,ROBERTO - Roberto Levi Sprenger,DACOC,2022/2,"3T4,3T5"
CC71B,S56,Desenho Assistido Por Computador,ROBERTO - Roberto Levi Sprenger,DACOC,2022/2,"3T2,3T3"
CC77C,S55,Instalações Hidrossanitárias,ROBERTO - Roberto Levi Sprenger,DACOC,2022/2,"2M2,2M3,4M2,4M3"
CC72G,S51,Metodologia Da Pesquisa,SILVANA - Silvana Leonita Weber,DACOC,2022/2,"5T3,5T4"
CC72G,S52,Metodologia Da Pesquisa,SILVANA - Silvana Leonita Weber,DACOC,2022/2,"5T5,5T6"
CC7BR,S51,Estratégia Empresarial E Gestão De Oportunidades,SILVANA - Silvana Leonita Weber,DACOC,2022/2,"3T1,3T2,5T1,5T2"
GE70F,S51,Gestão De Pessoas,SILVANA - Silvana Leonita Weber,DACOC,2022/2,"2T2,2T3"
CC72B,S52,Projeto Arquitetônico,TATIANA MC - Tatiana Maria Cecy Gadda,DACOC,2022/2,"3T1,3T2,3T3,3T4"
CC79H,S55,Trabalho De Conclusão De Curso 1,TATIANA MC - Tatiana Maria Cecy Gadda,DACOC,2022/2,"7M2,7M3,7M4,7M5"
ECSH18,PGEC,Transições Ambientais No Planejamento Urbano E Regional,TATIANA MC - Tatiana Maria Cecy Gadda,DACOC,2022/2,"3M2,3M3,3M4,3M5"
CC72D,S01,Materiais De Construção,V RUY - Valter Antonio Ruy,DACOC,2022/2,"5T1,5T2,5T3,5T4,6T1,6T2"
CC75B,S52,Tecnologia Da Construção De Edifícios 1,VILMAR - Vilmar Wernick,DACOC,2022/2,"3N1,3T6,5N1,5T6"
CC73B,S01,Argamassas E Concretos,WELLINGTON - Wellington Mazer,DACOC,2022/2,"3T3,3T4,5T5,5T6"
CC73B,S51,Argamassas E Concretos,WELLINGTON - Wellington Mazer,DACOC,2022/2,"3T3,3T4,5T5,5T6"
CC73B,S52,Argamassas E Concretos,WELLINGTON - Wellington Mazer,DACOC,2022/2,"3T3,3T4,5T5,5T6"
CC7AW,S51,Patologia E Recuperação Das Construções,WELLINGTON - Wellington Mazer,DACOC,2022/2,"3N2,3N3"
ECMS23,PGEC,Durabilidade Das Estruturas De Concreto Armado,WELLINGTON - Wellington Mazer,DACOC,2022/2,"6T2,6T3,6T4,6T5"
ECNC08,PGEC,Projeto De Tese,WELLINGTON - Wellington Mazer,DACOC,2022/2,4N4
DI81F,M31,Teoria Da Cor,ALAN - Alan Ricardo Witikoski,DADIN,2022/2,
DI81F,N31,Teoria Da Cor,ALAN - Alan Ricardo Witikoski,DADIN,2022/2,
DI84B,M31,Semiótica,ALAN - Alan Ricardo Witikoski,DADIN,2022/2,
DI84B,N31,Semiótica,ALAN - Alan Ricardo Witikoski,DADIN,2022/2,
DI61F,S31,Metodologia Da Pesquisa,AMSTEL - Frederick Marinus Constant Van Amstel,DADIN,2022/2,
DI61F,S32,Metodologia Da Pesquisa,AMSTEL - Frederick Marinus Constant Van Amstel,DADIN,2022/2,
DI6BJ,S31,Projetos Para Pessoas: Laboratório De Design E Inovação Social,AMSTEL - Frederick Marinus Constant Van Amstel,DADIN,2022/2,
DI82B,M31,Metodologia Da Pesquisa,AMSTEL - Frederick Marinus Constant Van Amstel,DADIN,2022/2,
DI82B,N31,Metodologia Da Pesquisa,AMSTEL - Frederick Marinus Constant Van Amstel,DADIN,2022/2,
PPGT3304,PGTE,Tópicos Especiais Em Tecnologia E Sociedade Álvaro Vieira Pinto I,AMSTEL - Frederick Marinus Constant Van Amstel,DADIN,2022/2,"6M2,6M3,6M4,6M5"
DI68G,S31,Audiovisual,ANA FRANCA - Ana Claudia Camila Veiga De Franca,DADIN,2022/2,
DI85D,M31,Audiovisual,ANA FRANCA - Ana Claudia Camila Veiga De Franca,DADIN,2022/2,
DI85D,N31,Audiovisual,ANA FRANCA - Ana Claudia Camila Veiga De Franca,DADIN,2022/2,
DI61I,S31,Geometria Descritiva 1,ANDRE BATISTELA - Andre Felipe Batistella Souza,DADIN,2022/2,
DI61I,S32,Geometria Descritiva 1,ANDRE BATISTELA - Andre Felipe Batistella Souza,DADIN,2022/2,
DI61L,S31,Representação 1,ANDRE BATISTELA - Andre Felipe Batistella Souza,DADIN,2022/2,
DI83B,M31,Elementos Plásticos Tridimensionais,ANDRE BATISTELA - Andre Felipe Batistella Souza,DADIN,2022/2,
DI83B,N31,Elementos Plásticos Tridimensionais,ANDRE BATISTELA - Andre Felipe Batistella Souza,DADIN,2022/2,
DI67B,S31,Teoria Do Design 4,ANDRE LUCCA - Andre De Souza Lucca,DADIN,2022/2,
DI82D,M31,Representação Técnica 2,ANDRE LUCCA - Andre De Souza Lucca,DADIN,2022/2,
DI82D,N31,Representação Técnica 2,ANDRE LUCCA - Andre De Souza Lucca,DADIN,2022/2,
DI86D,M31,Projeto De Embalagens,ANDRE LUCCA - Andre De Souza Lucca,DADIN,2022/2,
DI62K,S31,Composição 2,ANNA VOROS - Anna Lucia Da Silva Araujo Voros,DADIN,2022/2,
DI62K,S32,Composição 2,ANNA VOROS - Anna Lucia Da Silva Araujo Voros,DADIN,2022/2,
DI83D,M31,Metodologia De Projeto Gráfico,ANNA VOROS - Anna Lucia Da Silva Araujo Voros,DADIN,2022/2,
DI65H,S31,Fundamentos De Interação,CAYLEY - Cayley Guimaraes,DADIN,2022/2,
DI65H,S32,Fundamentos De Interação,CAYLEY - Cayley Guimaraes,DADIN,2022/2,
DI6AM,S31,Tópicos Avançados Em Projeto De Design 1,CAYLEY - Cayley Guimaraes,DADIN,2022/2,
DI6DB,S31,Conceptual Design,CAYLEY - Cayley Guimaraes,DADIN,2022/2,
DI64K,S32,Projeto De Sistema Visual,CINDY - Cindy Renate Piassetta Xavier Medeiros,DADIN,2022/2,
DI64L,S01,Ergonomia 2,CINDY - Cindy Renate Piassetta Xavier Medeiros,DADIN,2022/2,
DI64L,S31,Ergonomia 2,CINDY - Cindy Renate Piassetta Xavier Medeiros,DADIN,2022/2,
DI64L,S32,Ergonomia 2,CINDY - Cindy Renate Piassetta Xavier Medeiros,DADIN,2022/2,
DI84F,M31,Ergonomia Cognitiva,CINDY - Cindy Renate Piassetta Xavier Medeiros,DADIN,2022/2,
DI84F,N31,Ergonomia Cognitiva,CINDY - Cindy Renate Piassetta Xavier Medeiros,DADIN,2022/2,
DI63H,S31,Desenho 2,CIT - Everilton Jose Cit,DADIN,2022/2,
DI63H,S32,Desenho 2,CIT - Everilton Jose Cit,DADIN,2022/2,
DI67E,S31,Modelos E Maquetes 2,CIT - Everilton Jose Cit,DADIN,2022/2,
DI82E,M31,Fundamentos Do Projeto Gráfico,CLAUDIA B - Claudia Bordin Rodrigues Da Silva,DADIN,2022/2,
DI82E,N31,Fundamentos Do Projeto Gráfico,CLAUDIA B - Claudia Bordin Rodrigues Da Silva,DADIN,2022/2,
DI84D,M31,Web Design,CLAUDIA B - Claudia Bordin Rodrigues Da Silva,DADIN,2022/2,"6M1,6M2,6M3,6M4,6M5"
DI61E,S31,Materiais E Processos De Fabricação 1,DADIN -,DADIN,2022/2,
DI61H,S31,Desenho 1,DADIN -,DADIN,2022/2,
DI61L,S32,Representação 1,DADIN -,DADIN,2022/2,
DI65E,S32,Materiais Expressivos 2,DADIN -,DADIN,2022/2,
DI65K,S31,Projeto De Sistema De Produto,DADIN -,DADIN,2022/2,
DI67L,S31,Trabalho De Conclusão De Curso 1,DADIN -,DADIN,2022/2,
DI81B,M31,Criatividade,DADIN -,DADIN,2022/2,
DI84D,N31,Web Design,DADIN -,DADIN,2022/2,"2N1,2N2,2N3,2N4,2N5"
DI84F,N31,Ergonomia Cognitiva,DADIN -,DADIN,2022/2,
DI85A,N31,Teoria E História Do Design 2,DADIN -,DADIN,2022/2,
DI61D,S31,Teoria Da Cor,DADIN 1 -,DADIN,2022/2,
DI61H,S32,Desenho 1,DADIN 1 -,DADIN,2022/2,
DI62B,S31,História Da Arte 2,DADIN 1 -,DADIN,2022/2,
DI66B,S31,Teoria Do Design 3,DADIN 1 -,DADIN,2022/2,
DI62G,S31,Computação Gráfica 1,DADIN 3 -,DADIN,2022/2,
DI61B,S31,História Da Arte 1,DANIELA - Daniela Fernanda Ferreira Da Silva,DADIN,2022/2,
DI61B,S32,História Da Arte 1,DANIELA - Daniela Fernanda Ferreira Da Silva,DADIN,2022/2,
DI61L,S32,Representação 1,DANIELA - Daniela Fernanda Ferreira Da Silva,DADIN,2022/2,
DI82A,N31,História Da Arte Brasileira,DANIELA - Daniela Fernanda Ferreira Da Silva,DADIN,2022/2,
DI84E,N31,Projeto Gráfico Editorial,ED SARRO - Ed Marcos Sarro,DADIN,2022/2,
DI86D,N31,Projeto De Embalagens,ED SARRO - Ed Marcos Sarro,DADIN,2022/2,
DI63K,S31,Metodologia De Projeto De Design,ELAINE G - Elaine Garcia De Lima,DADIN,2022/2,
DI64E,S01,Materiais Expressivos 1,ELAINE G - Elaine Garcia De Lima,DADIN,2022/2,
DI64E,S31,Materiais Expressivos 1,ELAINE G - Elaine Garcia De Lima,DADIN,2022/2,
DI64E,S32,Materiais Expressivos 1,ELAINE G - Elaine Garcia De Lima,DADIN,2022/2,
DI63L,S01,Ergonomia 1,ELENISE - Elenise Leocadia Da Silveira Nunes,DADIN,2022/2,
DI63L,S31,Ergonomia 1,ELENISE - Elenise Leocadia Da Silveira Nunes,DADIN,2022/2,
DI65L,S01,Ergonomia 3,ELENISE - Elenise Leocadia Da Silveira Nunes,DADIN,2022/2,
DI65L,S31,Ergonomia 3,ELENISE - Elenise Leocadia Da Silveira Nunes,DADIN,2022/2,
DI65L,S32,Ergonomia 3,ELENISE - Elenise Leocadia Da Silveira Nunes,DADIN,2022/2,
DI64G,S01,Fotografia,ELIS - Elisangela Lobo Schirigatti,DADIN,2022/2,
DI83F,M31,Tratamento De Imagem,ELIS - Elisangela Lobo Schirigatti,DADIN,2022/2,
DI83F,N31,Tratamento De Imagem,ELIS - Elisangela Lobo Schirigatti,DADIN,2022/2,
DI84G,N31,Fotografia,ELIS - Elisangela Lobo Schirigatti,DADIN,2022/2,
DI61K,S31,Composição 1,ESOLINE - Esoline Helena Cavalli Zamarian,DADIN,2022/2,
DI61K,S32,Composição 1,ESOLINE - Esoline Helena Cavalli Zamarian,DADIN,2022/2,
DI82C,M31,Elementos Plásticos Bidimensionais,ESOLINE - Esoline Helena Cavalli Zamarian,DADIN,2022/2,
DI82C,N31,Elementos Plásticos Bidimensionais,ESOLINE - Esoline Helena Cavalli Zamarian,DADIN,2022/2,
DI84E,M31,Projeto Gráfico Editorial,EUNICE - Eunice Liu,DADIN,2022/2,
ELSC01,S01,Smart Challenges,EUNICE - Eunice Liu,DADIN,2022/2,"2N3,2N4"
ELSP01,S01,Smart Projects,EUNICE - Eunice Liu,DADIN,2022/2,"2N1,2N2"
DI62L,S31,Representação 2,FERNANDA BOTTER - Fernanda Botter,DADIN,2022/2,
DI62L,S32,Representação 2,FERNANDA BOTTER - Fernanda Botter,DADIN,2022/2,
DI6AN,S31,Tópicos Avançados Em Projeto De Design 2,FERNANDA BOTTER - Fernanda Botter,DADIN,2022/2,
DI81D,M31,Representação Técnica 1,FERNANDA BOTTER - Fernanda Botter,DADIN,2022/2,
DI63E,S31,Materiais E Processos De Fabricação 3,IANINO - Alexandre Ianino Da Silva,DADIN,2022/2,
DI63E,S32,Materiais E Processos De Fabricação 3,IANINO - Alexandre Ianino Da Silva,DADIN,2022/2,
DI82G,M31,Materias E Processos,IANINO - Alexandre Ianino Da Silva,DADIN,2022/2,
DI82G,N31,Materias E Processos,IANINO - Alexandre Ianino Da Silva,DADIN,2022/2,
DI62G,S32,Computação Gráfica 1,ISABELA - Isabela Mantovani Fontana,DADIN,2022/2,
DI67L,S31,Trabalho De Conclusão De Curso 1,ISABELA - Isabela Mantovani Fontana,DADIN,2022/2,
DI85F,M31,Trabalho De Conclusão De Curso 1,ISABELA - Isabela Mantovani Fontana,DADIN,2022/2,
DI85F,N31,Trabalho De Conclusão De Curso 1,ISABELA - Isabela Mantovani Fontana,DADIN,2022/2,
DI61C,S31,Psicologia 1,ISMAEL S - Ismael Scheffler,DADIN,2022/2,
